,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J U N E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mazuddin Salary," 61,000.00 ",,Mazuddin Salary," 61,000.00 ",72.62%,,1,Fruits," 2,900.00 ",,Produce," 6,600.00 ",33.93%,
,I N C O M E   &   E X P E N S E    S U M M A R Y,,,,,,,T O T A L   I N C O M E,,,,,,T O T A L   E X P E N S E S,,,,,,T O T A L,,,,,,,,2,Akramddin Salary," 10,000.00 ",,Akramddin Salary," 10,000.00 ",11.90%,,2,Produce," 6,600.00 ",,Bread," 3,200.00 ",16.45%,
,,,,,,,,"84,000.00",,,,,,"19,450.00",,,,,,"64,550.00",,,,,,,,3,Grocery store," 7,000.00 ",,Grocery store," 7,000.00 ",8.33%,,3,Meat," 2,350.00 ",,Fruits," 2,900.00 ",14.91%,
,MONTH,,,Jun,,,,,,,,,,,,,,,,,,,,,,,,4,Ice cream," 6,000.00 ",,Ice cream," 6,000.00 ",7.14%,,4,Doctor and Medicine," 1,700.00 ",,Personal expense," 2,700.00 ",13.88%,
,YEAR,,,2024,,,,,,,,,,,,,,,,,,,,,,,,5,Robinhood, -   ,,, -   ,0.00%,,5,Personal expense," 2,700.00 ",,Meat," 2,350.00 ",12.08%,
,,01 Jun 2024,30 Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,6,Coinbase, -   ,,, -   ,0.00%,,6,Bread," 3,200.00 ",,Doctor and Medicine," 1,700.00 ",8.74%,
,,,,,,,,,,,,,,,,S A V I N G S   R A T E,,,,,,,,,,,,7,Crypto.com, -   ,,, -   ,0.00%,,7,General grocery, -   ,,, -   ,0.00%,
,,,,,,,,23.15%,,,,,,,,,,,,,,,,,,,,8,Amazon , -   ,,, -   ,0.00%,,8,Education, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,401k, -   ,,, -   ,0.00%,,9,Gift, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,?  76.85%,,,,,,,,,,,10,0, -   ,,, -   ,0.00%,,10,Zakat, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0, -   ,,, -   ,0.00%,,11,Charity, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0, -   ,,, -   ,0.00%,,12,Phone Credit, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,76.85%,,,,,,,,,,,13,0, -   ,,, -   ,0.00%,,13,0, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0, -   ,,, -   ,0.00%,,14,0, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,% of income,,15,0, -   ,,, -   ,0.00%,,15,0, -   ,,, -   ,0.00%,
,,,,,,,,TOP 20 INCOME SOURCES,,,,,,,,TOP 20 EXPENSE SOURCES,,,,,,,,,,"19,450.00",,16,0, -   ,,, -   ,0.00%,,16,0, -   ,,, -   ,0.00%,
,I N C O M E   D I S T R I B U T I O N,,,,,,,,,,,,,,,,,,,,,,,,,"64,550.00",,17,0, -   ,,, -   ,0.00%,,17,0, -   ,,, -   ,0.00%,
,,,,,,,,CATEGORY,,,,AMOUNT,,PERCENTAGE,,CATEGORY,,,,AMOUNT,,PERCENTAGE,,,,,,18,0, -   ,,, -   ,0.00%,,18,0, -   ,,, -   ,0.00%,
,,,,,,,,1,Mazuddin Salary,,, AF ," 61,000.00 ",72.62%,,1,Produce,,, AF ," 6,600.00 ",33.93%,,,,,,19,0, -   ,,, -   ,0.00%,,19,0, -   ,,, -   ,0.00%,
,,,,,,,,2,Akramddin Salary,,, AF ," 10,000.00 ",11.90%,,2,Bread,,, AF ," 3,200.00 ",16.45%,,,,Income,"84,000.00",20,0, -   ,,, -   ,0.00%,,20,0, -   ,,, -   ,0.00%,
,,,,,,,,3,Grocery store,,, AF ," 7,000.00 ",8.33%,,3,Fruits,,, AF ," 2,900.00 ",14.91%,,,,Expense,"19,450.00",21,0, -   ,,, -   ,0.00%,,21,0, -   ,,, -   ,0.00%,
,,,,,,,,4,Ice cream,,, AF ," 6,000.00 ",7.14%,,4,Personal expense,,, AF ," 2,700.00 ",13.88%,,,,,,22,0, -   ,,, -   ,0.00%,,22,0, -   ,,, -   ,0.00%,
,,,,,,,,5,,,, AF , -   ,0.00%,,5,Meat,,, AF ," 2,350.00 ",12.08%,,,,,,23,0, -   ,,, -   ,0.00%,,23,0, -   ,,, -   ,0.00%,
,,,,,,,,6,,,, AF , -   ,0.00%,,6,Doctor and Medicine,,, AF ," 1,700.00 ",8.74%,,,,,,24,0, -   ,,, -   ,0.00%,,24,0, -   ,,, -   ,0.00%,
,,,,,,,,7,,,, AF , -   ,0.00%,,7,,,, AF , -   ,0.00%,,,,,,25,0, -   ,,, -   ,0.00%,,25,0, -   ,,, -   ,0.00%,
,,,,,,,,8,,,, AF , -   ,0.00%,,8,,,, AF , -   ,0.00%,,,,,,26,0, -   ,,, -   ,0.00%,,26,0, -   ,,, -   ,0.00%,
,,,,,,,,9,,,, AF , -   ,0.00%,,9,,,, AF , -   ,0.00%,,,,,,27,0, -   ,,, -   ,0.00%,,27,0, -   ,,, -   ,0.00%,
,E X P E N S E   D I S T R I B U T I O N,,,,,,,10,,,, AF , -   ,0.00%,,10,,,, AF , -   ,0.00%,,,,,,28,0, -   ,,, -   ,0.00%,,28,0, -   ,,, -   ,0.00%,
,,,,,,,,11,,,, AF , -   ,0.00%,,11,,,, AF , -   ,0.00%,,,,,,29,0, -   ,,, -   ,0.00%,,29,0, -   ,,, -   ,0.00%,
,,,,,,,,12,,,, AF , -   ,0.00%,,12,,,, AF , -   ,0.00%,,,,,,30,0, -   ,,, -   ,0.00%,,30,0, -   ,,, -   ,0.00%,
,,,,,,,,13,,,, AF , -   ,0.00%,,13,,,, AF , -   ,0.00%,,,,,,31,0, -   ,,, -   ,0.00%,,31,0, -   ,,, -   ,0.00%,
,,,,,,,,14,,,, AF , -   ,0.00%,,14,,,, AF , -   ,0.00%,,,,,,32,0, -   ,,, -   ,0.00%,,32,0, -   ,,, -   ,0.00%,
,,,,,,,,15,,,, AF , -   ,0.00%,,15,,,, AF , -   ,0.00%,,,,,,33,0, -   ,,, -   ,0.00%,,33,0, -   ,,, -   ,0.00%,
,,,,,,,,16,,,, AF , -   ,0.00%,,16,,,, AF , -   ,0.00%,,,,,,34,0, -   ,,, -   ,0.00%,,34,0, -   ,,, -   ,0.00%,
,,,,,,,,17,,,, AF , -   ,0.00%,,17,,,, AF , -   ,0.00%,,,,,,35,0, -   ,,, -   ,0.00%,,35,0, -   ,,, -   ,0.00%,
,,,,,,,,18,,,, AF , -   ,0.00%,,18,,,, AF , -   ,0.00%,,,,,,36,0, -   ,,, -   ,0.00%,,36,0, -   ,,, -   ,0.00%,
,,,,,,,,19,,,, AF , -   ,0.00%,,19,,,, AF , -   ,0.00%,,,,,,37,0, -   ,,, -   ,0.00%,,37,0, -   ,,, -   ,0.00%,
,,,,,,,,20,,,, AF , -   ,0.00%,,20,,,, AF , -   ,0.00%,,,,,,38,0, -   ,,, -   ,0.00%,,38,0, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0, -   ,,, -   ,0.00%,,39,0, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0, -   ,,, -   ,0.00%,,40,0, -   ,,, -   ,0.00%,
,INCOME SUMMARY,,,,,,,,,,,,EXPENSE SUMMARY,,,,,,,,,,,,,,,,," 84,000.00 ",,,,,,,," 19,450.00 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATEGORY,,,TOTAL,,% OF INCOME,,,,,,,CATEGORY,,,,,TOTAL,,% OF EXPENSE,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL INCOME   ,,,AF," 84,000.00 ",,,,,,,,TOTAL EXPENSES   ,,,,,AF," 19,450.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,Mazuddin Salary,,,AF," 61,000.00 ",73%,73%,,,,,,Fruits,,,,,AF," 2,900.00 ",15%,15%,,,,,,,,,,,,,,,,,,,,,,
,Akramddin Salary,,,AF," 10,000.00 ",12%,12%,,,,,,Produce,,,,,AF," 6,600.00 ",34%,34%,,,,,,,,,,,,,,,,,,,,,,
,Grocery store,,,AF," 7,000.00 ",8%,8%,,,,,,Meat,,,,,AF," 2,350.00 ",12%,12%,,,,,,,,,,,,,,,,,,,,,,
,Ice cream,,,AF," 6,000.00 ",7%,7%,,,,,,Doctor and Medicine,,,,,AF," 1,700.00 ",9%,9%,,,,,,,,,,,,,,,,,,,,,,
,Robinhood,,,AF, -   ,0%,0%,,,,,,Personal expense,,,,,AF," 2,700.00 ",14%,14%,,,,,,,,,,,,,,,,,,,,,,
,Coinbase,,,AF, -   ,0%,0%,,,,,,Bread,,,,,AF," 3,200.00 ",16%,16%,,,,,,,,,,,,,,,,,,,,,,
,Crypto.com,,,AF, -   ,0%,0%,,,,,,General grocery,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,Amazon ,,,AF, -   ,0%,0%,,,,,,Education,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,401k,,,AF, -   ,0%,0%,,,,,,Gift,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,Zakat,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,Charity,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,Phone Credit,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,TOTAL INCOME   ,,,AF," 84,000.00 ",,,,,,,,TOTAL EXPENSES   ,,,,,AF," 19,450.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
